Fighter_Id_1,Fighter_Id_2,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
2f732dd9210d301f,63b65af1c5cb02cb,Tito Ortiz,Ken Shamrock,0,0,18,0,1,0,0,0,Light Heavyweight,KO/TKO Punches,1,2:23,577ec7e108b94be3,W,L,3 Rnd (5-5-5),John McCarthy,Punches to Head From Guard,0.62,,0,0,0,0,126,0,0.6,0,1.0,0,0.67,0,0.0,0,1.0,0,0.62,0,0.73,1.0,0.62,0
234f3767ff0e5701,0597a4528ebd1307,Kendall Grove,Chris Price,0,0,13,5,1,0,1,0,Middleweight,KO/TKO Elbows,1,3:59,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Troy Waugh,"Elbows to Head From Mount
      Submission to Strikes",0.5,0.5,1,0,1,1,164,36,0.48,0.29,1.0,1.0,0,0,0.25,0.4,1.0,1.0,0.52,0.0,0.61,0.58,0.5,0.5
2be6596a9db33bf5,06f36cf4bd97ec77,Jason MacDonald,Ed Herman,0,0,5,2,0,1,2,0,Middleweight,SUB Triangle Choke,1,2:43,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Jorge Alonso,Triangle Choke From Bottom Guard,0.71,1.0,2,0,1,1,57,78,0.8,0,0,0,0.5,1.0,0.5,1.0,0,0,1.0,0,0.88,1.0,0.71,1.0
98b80a717b9bda17,93b9496275bbbf80,Matt Hamill,Seth Petruzelli,0,1,14,25,7,0,0,1,Light Heavyweight,U-DEC,3,5:00,577ec7e108b94be3,W,L,3 Rnd (5-5-5),John McCarthy,Mike Ross28 - 29.Jeff Mullen27 - 30.Tim Vannatta28 - 29.,0.35,0.43,0,1,0,0,609,11,0.3,0.27,0,0.8,1.0,0.86,0.28,0.43,0.6,0.5,0.5,0.33,0.71,0.61,0.35,0.43
a8e6a69796280f17,bf41b5131545da12,Nate Marquardt,Crafton Wallace,0,0,13,4,2,0,2,0,Middleweight,SUB Rear Naked Choke,2,1:14,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Troy Waugh,Rear Naked Choke,0.48,0.22,2,0,1,0,215,45,0.35,0.19,1.0,0.0,0.8,1.0,0.44,0.24,0,0,0.55,0.0,0.66,0.66,0.48,0.22
6ad9058b7c7898b0,a149d6bc670cdb60,Tony DeSouza,Dustin Hazelett,0,0,5,1,1,0,1,1,Welterweight,SUB Kimura,1,3:59,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Marco Lopez,Kimura From Side Control,1.0,0.25,1,1,0,0,218,0,1.0,0.25,0,0,0,0,0,0.25,0,0,1.0,0,1.0,0.25,1.0,0.25
546015aa2ad945fd,6ef58dabef8beb15,Rory Singer,Josh Haynes,0,1,50,23,0,1,0,0,Middleweight,U-DEC,3,5:00,577ec7e108b94be3,W,L,3 Rnd (5-5-5),John McCarthy,Jeff Mullen28 - 29.Mike Ross28 - 29.Peter Trematerra28 - 29.,0.4,0.22,0,0,0,0,76,173,0.38,0.17,1.0,0.44,1.0,0.8,0.38,0.16,0.55,0.29,0.0,0.45,0.44,0.28,0.41,0.23
31ee470ef5dc8d7f,7a15f3694c5cbc02,Thiago Alves,John Alessio,0,0,63,13,0,2,0,0,Welterweight,U-DEC,3,5:00,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Troy Waugh,Mike Ross27 - 30.Michael Pernick27 - 30.Tim Vannatta27 - 30.,0.44,0.15,0,0,0,0,76,253,0.28,0.15,0.85,0.0,0.74,1.0,0.39,0.14,0.65,0.22,0.47,1.0,0.51,0.21,0.44,0.16
b7d524c77c27389b,e86bc32f5997a8f7,Marcus Davis,Forrest Petz,0,0,33,5,0,0,1,0,Welterweight,SUB Guillotine Choke,1,4:58,577ec7e108b94be3,W,L,3 Rnd (5-5-5),Jorge Alonso,Guillotine Choke After Drop to Guard,0.66,0.27,1,0,0,0,50,21,0.52,0.14,0.89,0.67,1.0,1.0,0.45,0.11,0.83,0.44,0.53,0,0.75,0.54,0.66,0.28
621a6c59f88a44fe,73c7cfa551289285,Matt Hughes,BJ Penn,0,0,35,17,1,0,0,2,Welterweight,KO/TKO Punches,3,3:53,13e62d766b709aa6,W,L,5 Rnd (5-5-5-5-5),John McCarthy,Punches to Head From Crucifix,0.39,0.45,0,2,0,1,418,118,0.36,0.36,0.62,0.78,1.0,0,0.34,0.32,0.57,0.7,0.48,1.0,0.58,0.7,0.4,0.46
9fe85152f351e737,22e47b53e4ceb27c,Mike Swick,David Loiseau,0,0,32,36,3,1,0,0,Middleweight,U-DEC,3,5:00,13e62d766b709aa6,W,L,3 Rnd (5-5-5),Steve Mazzagatti,Richard Bertrand28 - 29.Nelson Hamilton28 - 29.Alejandro Rochin28 - 29.,0.34,0.52,0,0,0,0,210,163,0.18,0.45,0.69,0.5,0.79,0.85,0.24,0.3,0.72,0.86,0.67,0.83,0.5,0.58,0.34,0.53
