,First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
362,Maximo,Blanco,Maxi,5.8,145.0,71.0,Orthodox,12,8,1,
363,David,Blanco,,5.7,145.0,,,2,0,0,
364,Curtis,Blaydes,Razor,6.4,265.0,80.0,Orthodox,19,5,0,
365,Tereza,Bleda,,5.9,125.0,71.0,Orthodox,7,1,0,
366,Arlene,Blencowe,Angerfist,5.5,145.0,,,9,6,0,
367,Byron,Bloodworth,,5.8,135.0,,Orthodox,6,3,0,
368,Dashawn,Boatwright,"Buck, the 400-pound Silverback",6.0,205.0,,Orthodox,3,1,0,
369,Dan,Bobish,,6.2,345.0,,Southpaw,17,9,0,
370,Mark,Bocek,,5.8,155.0,75.0,Orthodox,12,5,0,
371,Kyle,Bochniak,Killer B,5.7,145.0,70.0,Orthodox,8,5,0,
372,James,Bochnovic,,6.4,205.0,81.0,Orthodox,8,3,0,
373,Jeremy,Boczulak,,,,,,0,2,0,
374,Tim,Boetsch,The Barbarian,6.0,185.0,74.0,Orthodox,21,13,0,
375,Galore,Bofando,,5.11,170.0,72.0,Switch,5,3,0,
376,Jay,Bogan,,,145.0,,,6,6,0,
377,Roman,Bogatov,,5.8,155.0,73.0,Orthodox,10,1,0,
378,Derek,Bohi,Marshmallow,6.4,260.0,,,8,5,0,
379,Jerry,Bohlander,,5.11,199.0,,Orthodox,11,4,0,
380,Mandy,Bohm,Monster,5.7,125.0,71.0,Orthodox,8,2,0,
381,Kotetsu,Boku,,5.9,154.0,,Orthodox,25,11,2,
382,Gaston,Bolanos,The Dreamkiller,5.7,135.0,69.0,Orthodox,8,5,0,
383,Kyle,Bolt,,6.2,185.0,,,8,4,0,
384,Denys,Bondar,Psycho,5.6,125.0,69.0,Orthodox,14,5,0,
385,Luc,Bondole,,6.2,205.0,,,5,2,2,
386,Gabriel,Bonfim,Marretinha,6.1,170.0,72.0,Orthodox,18,1,0,
387,Ismael,Bonfim,Marreta,5.8,155.0,71.0,Orthodox,20,5,0,
388,Jesse,Bongfeldt,Water,6.0,185.0,,Orthodox,16,5,1,
389,Marcos,Bonilla,Murder Marx,5.1,145.0,,,4,4,0,
390,Stephan,Bonnar,The American Psycho,6.4,205.0,79.0,Orthodox,15,9,0,
391,Rogerio,Bontorin,,5.5,125.0,67.0,Orthodox,16,4,0,
392,Ray,Borg,The Tazmexican Devil,5.4,135.0,63.0,Orthodox,13,5,0,
393,Igor,Borisov,,6.0,235.0,,Orthodox,1,1,0,
394,Kevin,Borjas,El Gallo Negro,5.5,125.0,68.0,Orthodox,10,4,0,
395,Calen,Born,,5.8,170.0,72.0,Switch,7,1,0,
396,Caio,Borralho,The Natural,6.1,185.0,75.0,Southpaw,17,1,0,
397,Zachary,Borrego,The Dragon,6.2,185.0,78.0,Switch,3,1,0,
398,Viacheslav,Borshchev,Slava Claus,5.11,155.0,69.0,Orthodox,8,6,1,
399,Tanner,Boser,The Bulldozer,6.2,205.0,75.0,Orthodox,21,10,1,
400,Steve,Bosse,The Boss,5.11,205.0,72.0,Orthodox,12,2,0,
401,Marcus,Bossett,The Grasshopper,6.1,215.0,,Orthodox,1,3,0,
402,Chris,Bostick,,,,,,6,3,0,
403,Poliana,Botelho,,5.8,125.0,67.0,Orthodox,8,5,0,
404,Francois,Botha,White Buffalo,6.2,260.0,,Orthodox,0,1,0,
405,Ilian,Bouafia,The Gorilla,6.5,185.0,78.0,Southpaw,7,0,0,
406,Gregory,Bouchelaghem,,6.2,183.0,,Switch,5,4,0,
407,Roy,Boughton,Black Dynamite,6.0,205.0,,,14,8,0,
408,Rich,Bouphanouvong,,5.7,170.0,,,1,4,0,
409,Mike,Bourke,The Rhino,6.0,275.0,,Orthodox,10,16,1,
410,Tai,Bowden,,5.11,230.0,,,1,1,0,
411,Melton,Bowen,The Punisher,6.0,225.0,,Orthodox,0,1,0,
412,Kyron,Bowen,Bullseye,6.3,185.0,73.0,Orthodox,9,5,0,
413,Brian,Bowles,,5.7,135.0,70.0,Orthodox,10,3,0,
414,Roger,Bowling,Relentless,5.9,155.0,68.0,Orthodox,12,6,0,
415,Blake,Bowman,,6.2,170.0,,,2,6,0,
416,Ashe,Bowman,The Archer,5.9,155.0,,,9,11,0,
417,Anvar,Boynazarov,The Uzbek,5.9,145.0,,Orthodox,3,1,0,
418,Colley,Bradford,,5.7,145.0,,,0,1,0,
419,Kyle,Bradley,,5.9,155.0,71.0,Orthodox,19,12,0,
420,Paul,Bradley,The Gentleman,5.9,170.0,,Orthodox,23,8,0,
421,Sean,Brady,,5.1,170.0,72.0,Orthodox,18,1,0,
422,Ebenezer Fontes,Braga,Pitbull,6.0,199.0,,Orthodox,13,7,2,
423,Ramiz,Brahimaj,,5.1,170.0,72.0,Orthodox,12,5,0,
424,Adam,Bramhald,Samurai,5.1,135.0,70.0,Orthodox,13,3,0,
425,Joe,Brammer,The South Side Strangler,5.8,155.0,,Orthodox,7,3,1,
426,David,Branch,,6.1,185.0,78.0,Orthodox,22,6,0,
427,Billy,Brand,,5.6,135.0,65.0,Orthodox,5,2,0,
428,Diego,Brandao,DB,5.7,145.0,64.0,Orthodox,22,11,0,
429,Bruna,Brasil,,5.6,115.0,65.0,Orthodox,11,5,1,
430,Michael,Bravo,,,155.0,,,7,4,0,
431,Martin,Bravo,El Toro,5.8,145.0,71.0,Southpaw,11,3,0,
432,Roman,Bravo-Young,,,205.0,,,0,1,0,
433,Mike,Breeden,Money,5.1,155.0,70.0,Orthodox,11,6,0,
434,Elves,Brener,,5.1,155.0,72.0,Orthodox,16,6,0,
435,Chris,Brennan,The Westside Strangler,5.8,170.0,,Orthodox,21,13,1,
436,Charlie,Brenneman,The Spaniard,5.1,155.0,70.0,Orthodox,19,8,0,
437,Robert,Breslin,The Bullet,5.11,155.0,,,3,9,0,
438,Mack,Brewer,,,205.0,,,0,1,0,
439,Marcos,Brigagao,Ironside,6.3,205.0,76.0,Southpaw,11,1,0,
440,Jason,Brilz,Hitman,5.11,205.0,71.0,Orthodox,22,6,1,
441,Marcus,Brimage,The Bama Beast,5.4,135.0,71.0,Southpaw,7,7,0,
442,Aaron,Brink,,6.3,205.0,,Orthodox,26,26,0,
443,Henry,Briones,Bure,5.8,135.0,69.0,Orthodox,16,8,1,
444,Marcelo,Brito,Jungle Boy,6.1,170.0,,Orthodox,13,8,0,
445,Joanderson,Brito,Tubarao,5.8,145.0,72.0,Orthodox,17,5,1,
446,Kaik,Brito,,5.11,170.0,72.0,Orthodox,16,5,0,
447,Icaro,Brito,,,145.0,,,7,1,0,
448,Antwain,Britt,The Juggernaut,6.1,205.0,77.0,,11,6,0,
449,Drew,Brokenshire,,,,,,16,6,0,
450,Mike,Bronzoulis,The Greek,6.0,155.0,,,18,9,1,
451,Jonathan,Brookins,,6.0,145.0,74.0,Southpaw,16,10,0,
452,Will,Brooks,Ill,5.1,155.0,72.0,Orthodox,18,4,0,
453,Jarred,Brooks,The Monkey God,5.3,125.0,62.0,Switch,13,2,0,
454,Rob,Broughton,The Bear,6.2,265.0,74.0,Orthodox,16,7,1,
455,Lee,Brousseau,Manimal,6.1,205.0,,,5,3,0,
456,Matt,Brown,The Immortal,6.0,170.0,75.0,Orthodox,26,19,0,
457,Mike,Brown,,5.6,145.0,70.0,Orthodox,26,9,0,
458,Yan,Cabral,,5.11,155.0,73.0,Orthodox,13,3,0,
459,Juan,Cabrera,Papi Juancho,,185.0,,,9,1,0,
460,Alvin,Cacdac,,5.6,125.0,,Orthodox,18,13,0,
461,Alex,Caceres,Bruce Leeroy,5.1,145.0,73.0,Southpaw,21,15,0,
462,Vince,Cachero,The Anomaly,5.6,145.0,68.0,Orthodox,7,4,0,
463,Priscila,Cachoeira,Zombie Girl,5.7,135.0,65.0,Orthodox,13,7,0,
464,Travis,Calanoc,The Dark Knight,5.8,145.0,,Orthodox,5,1,0,
465,Ricky,Calatayud,,5.9,125.0,,,16,2,0,
466,Lucas,Caldas,,,170.0,,,6,1,0,
467,Carlos,Calderon,Chief,5.11,145.0,71.0,Southpaw,6,3,0,
468,Darrion,Caldwell,The Wolf,5.1,135.0,,,10,1,0,
469,Nicolle,Caliari,,5.3,125.0,62.0,Orthodox,8,4,0,
470,Taylor,Callens,,5.1,155.0,,,6,0,0,
471,Cynthia,Calvillo,,5.4,115.0,64.0,Orthodox,9,6,1,
472,Joe,Camacho,,5.9,155.0,,Orthodox,13,19,3,
473,Frank,Camacho,The Crank,5.1,155.0,73.0,Orthodox,22,10,0,
474,Lucas,Camacho,,6.4,265.0,80.0,Orthodox,6,1,0,
475,Matheus,Camilo,Jaguar,5.1,155.0,69.0,Orthodox,9,3,0,
476,Fabricio,Camoes,Morango,5.1,155.0,71.0,Orthodox,14,9,1,
477,Chris,Camozzi,,6.2,185.0,75.0,Orthodox,24,13,0,
478,Brian,Camozzi,Mantis,6.2,170.0,78.0,Orthodox,7,5,0,
479,Ricky,Camp,2 Slick,5.7,135.0,,,11,4,0,
480,Mike,Campbell,The Beast,5.9,155.0,,Southpaw,13,4,0,
481,Thomas,Campbell,,,,,,3,3,0,
482,Shane,Campbell,Shaolin,6.0,155.0,71.0,Orthodox,14,6,0,
483,Charlie,Campbell,The Cannibal,6.0,155.0,72.0,Orthodox,9,2,0,
484,Kitt,Campbell,The Killer,6.1,170.0,73.0,Orthodox,16,7,0,
485,Kurtis,Campbell,The Pink Panther,,145.0,,,7,0,0,
486,John,Campetella,,5.9,235.0,,Orthodox,0,1,0,
487,Wagner,Campos,Galeto,5.6,145.0,,Southpaw,12,10,0,
488,Derek,Campos,The Stallion,5.9,155.0,,,19,6,0,
489,Will,Campuzano,,5.9,125.0,70.0,Orthodox,14,6,0,
490,Aleksa,Camur,,6.1,205.0,74.0,Orthodox,6,3,0,
491,Chico,Camus,The King,5.6,125.0,66.0,Orthodox,17,7,0,
492,Asbel,Cancio,,5.1,225.0,,,0,1,0,
493,Carlos,Candelario,The Cannon,5.8,125.0,68.0,Southpaw,8,3,0,
494,Ronaldo,Candido,Pacman,5.6,125.0,,Southpaw,6,0,0,
495,Luiz,Cane,Banha,6.2,185.0,77.0,Southpaw,17,7,0,
496,Guido,Cannetti,Ninja,5.6,135.0,68.0,Southpaw,10,8,0,
497,Jared,Cannonier,The Killa Gorilla,5.11,185.0,77.0,Switch,18,9,0,
498,Jose,Canseco,,6.4,240.0,,Orthodox,0,1,0,
499,Cody,Canterbury,,5.8,155.0,,,1,10,0,
500,Bo,Cantrell,Redrum,6.2,235.0,,Orthodox,10,10,0,
501,Steve,Cantwell,The Robot,6.2,185.0,75.0,Orthodox,7,6,0,
502,Paul,Capaldo,,5.7,135.0,,,6,0,0,
503,Phil,Caracappa,The Hitman,5.8,135.0,70.0,Orthodox,6,1,0,
504,Frank,Caracci,,,,,,2,3,0,
505,Gina,Carano,Conviction,5.8,145.0,,Orthodox,7,1,0,
506,Dos,Caras Jr.,,6.4,225.0,,Orthodox,9,5,0,
507,Remo,Cardarelli,,,135.0,,,7,5,0,
508,Phil,Cardella,,5.11,155.0,,,8,5,0,
509,Edgar,Cardenas,Kitty Katt,,145.0,,,4,1,0,
510,Chris,Cariaso,Kamikaze,5.3,125.0,64.0,Southpaw,17,8,0,
511,Ronald,Carillo,,,125.0,,,4,2,0,
512,Rafael,Carino,,6.8,245.0,,Orthodox,2,1,1,
513,Don,Carlo-Clauss,,,170.0,,,10,7,0,
514,Antonio,Carlos Junior,Cara de Sapato,6.2,185.0,79.0,Orthodox,11,5,0,
515,Spike,Carlyle,Alpha Ginger,5.8,145.0,71.0,Switch,9,3,0,
516,Francis,Carmont,Limitless,6.3,205.0,78.0,Orthodox,25,12,0,
517,Liz,Carmouche,Girlrilla,5.6,125.0,66.0,Orthodox,13,7,0,
518,Roan,Carneiro,Jucao,5.11,170.0,76.0,Orthodox,21,11,0,
519,Ariane,Carnelossi,Sorriso,5.2,115.0,61.0,Orthodox,15,3,0,
520,Luana,Carolina,Dread,5.6,135.0,69.0,Orthodox,11,4,0,
521,Tim,Caron,The Bear,6.1,185.0,,Orthodox,7,1,0,
522,Clayton,Carpenter,,5.6,125.0,66.0,Orthodox,8,1,0,
523,Gabriel,Carrasco,,5.6,135.0,,,7,0,0,
524,Cody,Carrillo,,5.1,155.0,,,11,16,0,
525,Cain,Carrizosa,The Insane,5.8,155.0,,Orthodox,10,3,0,
526,Roger,Carroll,The Leprechaun,5.1,170.0,,,16,14,0,
527,Jonny,Carson,,5.1,155.0,,,11,7,0,
528,Scott,Carson,,6.2,215.0,,,4,2,0,
529,Shonie,Carter,Mr. International,5.1,170.0,,Southpaw,51,31,7,
530,Jack,Cartwright,,5.9,135.0,68.0,Orthodox,10,1,0,
531,Antonio,Carvalho,Pato,5.9,145.0,70.0,Orthodox,15,6,0,
532,Rafael,Carvalho,,6.3,185.0,,,14,1,0,
533,Shane,Carwin,The Engineer,6.2,265.0,80.0,Orthodox,12,2,0,
534,Johnny,Case,Hollywood,5.1,155.0,72.0,Orthodox,22,6,0,
535,Kevin,Casey,King,5.11,185.0,77.0,Southpaw,9,5,2,
536,Cortney,Casey,Cast Iron,5.7,125.0,67.0,Orthodox,10,10,0,
537,Brandon,Cash,Money,6.5,255.0,,Orthodox,10,4,0,
538,Bendy,Casimir,,5.5,145.0,,Southpaw,20,14,2,
539,Dwayne,Cason,,5.1,212.0,,Orthodox,1,1,0,
540,Joe,Cason,,6.3,205.0,,,9,1,0,
541,John,Castaneda,Sexi Mexi,5.6,135.0,71.0,Switch,21,8,0,
542,Eric,Castile,,5.8,145.0,,,3,2,0,
543,Gil,Castillo,,5.9,170.0,,Southpaw,8,5,0,
544,Danny,Castillo,Last Call,5.9,155.0,71.0,Orthodox,17,10,0,
545,Raul,Castillo,,5.11,185.0,,Orthodox,7,1,0,
546,Jenna,Castillo,,5.2,125.0,,,1,0,0,
547,Tim,Catalfo,Obake,5.11,235.0,,Orthodox,4,2,0,
548,Nick,Catone,The Jersey Devil,6.0,185.0,72.0,Southpaw,10,4,0,
549,Luke,Caudillo,Lil' Hulk,5.7,155.0,,Orthodox,17,17,0,
550,Gesias,Cavalcante,JZ,5.8,155.0,71.0,Orthodox,21,10,1,
551,Rafael,Cavalcante,Feijao,6.1,205.0,74.0,Orthodox,12,7,0,
552,Jacqueline,Cavalcanti,,5.8,135.0,70.0,Orthodox,9,1,0,
553,Igor,Cavalcanti,Jacare,5.11,170.0,79.0,Orthodox,9,1,0,
554,Magnus,Cedenblad,Jycken,6.5,185.0,79.0,Orthodox,14,5,0,
555,Henry,Cejudo,Triple C,5.4,135.0,64.0,Orthodox,16,5,0,
556,Adam,Cella,El Naturel,6.2,170.0,,,6,8,0,
557,Vinicius,Cenci,Chambinho,6.1,155.0,74.0,Orthodox,7,2,0,
558,Katlyn,Cerminara,Blonde Fighter,5.9,125.0,68.0,Orthodox,18,6,0,
559,Rafael,Cerqueira,The Lion,6.3,205.0,76.0,Southpaw,11,3,0,
560,Donald,Cerrone,Cowboy,6.1,155.0,73.0,Orthodox,36,17,0,
561,Jared,Chaffee,,5.1,155.0,,,5,2,0,
562,Luan,Chagas,Tarzan,6.0,170.0,75.0,Orthodox,15,3,1,
563,Edgar,Chairez,Puro Chicali,5.7,125.0,71.0,Orthodox,12,6,0,
564,Ansar,Chalangov,,5.9,170.0,,Orthodox,14,5,0,
565,Alex,Chambers,Astro Girl,5.3,115.0,63.0,Southpaw,5,5,0,
566,Michael,Chandler,Iron,5.8,155.0,71.0,Orthodox,23,10,0,
567,Chelsea,Chandler,,5.8,135.0,68.0,Southpaw,6,4,0,
568,Eduardo,Chapolin,,,125.0,,,14,2,0,
569,Donnie,Chappell,,5.11,178.0,,Southpaw,0,1,0,
570,Joe,Charles,The Ghetto Man,6.1,260.0,,Southpaw,6,13,0,
571,Dan,Charles,The Man,6.2,228.0,,,10,6,1,
572,Morgan,Charriere,The Last Pirate,5.8,145.0,69.0,Orthodox,21,11,1,
573,Jeisla,Chaves,A Braba,,135.0,,,5,0,0,
574,Ernest,Chavez,EJ,5.8,145.0,70.0,Orthodox,10,2,0,
575,Emilio,Chavez,,5.9,145.0,,,12,9,0,
576,Danny,Chavez,The Colombian Warrior,5.8,145.0,67.0,Orthodox,11,5,1,
577,Gabriel,Checco,Zangief,6.1,185.0,,Switch,10,2,0,
578,Albert,Cheng,,5.11,170.0,,Orthodox,7,4,0,
579,Ion,Cherdivara,,,205.0,,,1,1,0,
580,Mark,Cherico,The Pride of Bloomfield,5.7,145.0,69.0,Orthodox,11,1,0,
581,Macy,Chiasson,,5.11,135.0,72.0,Orthodox,11,4,0,
582,Michael,Chiesa,Maverick,6.1,170.0,75.0,Southpaw,19,7,0,
583,Giga,Chikadze,Ninja,6.0,145.0,74.0,Orthodox,15,5,0,
584,Khamzat,Chimaev,Borz,6.2,185.0,75.0,Orthodox,15,0,0,
585,Sako,Chivitchian,,5.11,155.0,,Orthodox,8,1,0,
586,Mu Bae,Choi,,6.2,230.0,,Orthodox,12,6,0,
587,Hong Man,Choi,Techno Goliath,7.2,330.0,,Orthodox,4,5,0,
588,Dooho,Choi,The Korean Superboy,5.1,145.0,70.0,Orthodox,16,4,1,
589,SeungWoo,Choi,Sting,6.0,145.0,74.0,Orthodox,11,8,0,
590,SeungGuk,Choi,,5.6,125.0,64.0,Orthodox,7,3,0,
591,DongHun,Choi,,5.5,125.0,66.0,Switch,9,0,0,
592,Mark,Choinski,The Shark,5.8,155.0,69.0,Orthodox,8,1,0,
593,John,Cholish,,5.11,155.0,74.0,Orthodox,8,3,0,
594,Ryo,Chonan,Piranah,5.9,170.0,70.0,Orthodox,22,13,0,
595,Will,Chope,The Kill,6.4,145.0,,Switch,34,13,0,
596,Cody,Chovancek,,,135.0,,,8,0,0,
597,Joachim,Christensen,,6.3,205.0,76.0,Orthodox,14,6,0,
598,Kevin,Christian,,6.7,205.0,80.0,Orthodox,9,2,0,
599,Dan,Christison,The Sandman,6.8,265.0,,Orthodox,20,7,0,
600,Anthony,Christodoulou,,5.9,155.0,,Orthodox,12,7,0,
601,Murad,Chunkaiev,,5.11,185.0,,Orthodox,8,4,0,
602,Cameron,Church,,5.11,155.0,72.0,Orthodox,4,1,0,
603,Mike,Ciesnolevicz,,6.0,235.0,,Orthodox,19,4,0,
604,Hannah,Cifers,Shockwave,5.1,115.0,62.0,Orthodox,10,7,0,
605,Branko,Cikatic,,6.1,215.0,,Orthodox,0,2,0,
606,Nikolajus,Cilkinas,,,,,Orthodox,2,6,0,
607,Misha,Cirkunov,,6.3,205.0,77.0,Orthodox,15,9,0,
608,Johnny,Cisneros,The Tattooed Terror,5.11,170.0,,,9,6,0,
609,Laverne,Clark,,5.11,170.0,,Orthodox,27,21,1,
610,Logan,Clark,,6.2,185.0,,Orthodox,18,6,0,
611,Mychal,Clark,,6.3,224.0,,Orthodox,10,14,0,
612,Dominic,Clark,,5.1,155.0,,,10,7,0,
613,Heather,Clark,Hurricane,5.6,115.0,64.0,Orthodox,7,6,0,
614,Devin,Clark,Brown Bear,6.0,205.0,75.0,Orthodox,14,9,0,
615,Jessica-Rose,Clark,,5.5,135.0,64.0,Orthodox,11,9,0,
616,Shannon,Clark,MMA Barbie,5.5,125.0,64.0,Orthodox,5,1,0,
617,John,Clarke,,,170.0,,,1,1,0,
618,Mitch,Clarke,Danger Zone,5.1,155.0,73.0,Orthodox,11,5,0,
619,Rich,Clementi,No Love,5.9,155.0,72.0,Southpaw,45,23,1,
620,Chris,Clements,The Menace,5.1,170.0,70.0,Orthodox,12,6,0,
621,RJ,Clifford,,,160.0,,,4,3,0,
622,Mark,Climaco,,5.4,125.0,65.0,Southpaw,9,2,0,
623,Josh,Clopton,The Gentleman,5.6,145.0,,Orthodox,6,2,1,
624,Brian,Cobb,,5.11,155.0,,Orthodox,20,9,0,
625,Darryl,Cobb,,5.9,185.0,,,6,8,0,
626,Dave,Cochran,,5.6,155.0,,,26,29,1,
627,Marloes,Coenen,,5.9,145.0,67.0,,23,8,0,
628,Marc,Cofer,,,185.0,,,7,5,0,
629,John,Cofer,The Potter,5.9,155.0,,Southpaw,8,4,0,
630,Chris,Coggins,,,,,,7,10,0,
631,Felipe,Colares,Cabocao,5.8,145.0,69.0,Orthodox,10,4,0,
632,Wayne,Cole,,6.1,205.0,,Orthodox,16,25,0,
633,Devin,Cole,,6.4,240.0,,Orthodox,20,10,1,
634,Coltin,Cole,,,185.0,,,4,5,0,
635,Ivan,Cole,JP,5.9,135.0,,,2,3,0,
636,Chandler,Cole,The Hammer,5.1,264.0,72.0,Orthodox,10,4,0,
637,Mark,Coleman,The Hammer,6.1,205.0,75.0,Orthodox,16,10,0,
638,Cortez,Coleman,Hollywood,6.1,185.0,,,13,8,0,
639,Clay,Collard,Cassius,5.11,145.0,73.0,Orthodox,14,7,0,
640,Jamie,Colleen,,5.3,115.0,65.0,Orthodox,4,1,0,
641,Jake,Collier,The Prototype,6.3,230.0,78.0,Orthodox,13,10,0,
642,Christian,Colombo,,6.5,265.0,,Orthodox,8,3,1,
643,Willian,Colorado,,5.1,135.0,72.0,,11,1,0,
644,Wes,Combs,The Soldier,6.2,205.0,,Orthodox,20,6,0,
645,Rose,Conceicao,,4.7,115.0,65.0,Orthodox,7,1,0,
646,Roque,Conceicao,,,125.0,,,10,2,0,
647,Carlos,Condit,The Natural Born Killer,6.2,170.0,75.0,Orthodox,32,14,0,
648,Chris,Condo,,6.0,335.0,,Orthodox,0,1,0,
649,Jack,Congdon,.50 Cal,,170.0,,Switch,7,1,0,
650,Tristan,Connelly,Boondock,5.1,145.0,68.0,Orthodox,14,8,0,
651,Jeremiah,Constant,,6.1,240.0,,Orthodox,11,8,0,
652,Jonathan,Contrestano,JT,,155.0,,,6,0,0,
653,Bob,Cook,Crazy,5.9,170.0,,Orthodox,5,0,0,
654,Mike,Cook,,6.1,205.0,,Orthodox,13,13,0,
655,Chad,Cook,,6.2,205.0,,,10,12,0,
656,TJ,Cook,,,205.0,,,13,5,0,
657,Dewey,Cooper,The Black Cobra,,205.0,,,2,1,0,
658,Brett,Cooper,,6.0,170.0,,Orthodox,23,12,0,
659,Bill,Cooper,,,155.0,,,2,1,0,
660,Bobby,Cooper,Super Duper,6.1,155.0,,,12,7,0,
661,Amanda,Cooper,ABC,5.3,115.0,64.0,Switch,3,5,0,
662,Kit,Cope,Havoc,6.0,170.0,,Orthodox,6,7,0,
663,Chris,Cope,C-Murder,6.0,170.0,72.0,Orthodox,8,4,0,
664,Josh,Copeland,Cuddly Bear,6.1,265.0,,Orthodox,12,4,0,
665,Michael,Cora,Kookie Monster,6.1,170.0,77.0,Southpaw,4,1,0,
666,Akira,Corassani,,5.8,145.0,68.0,Orthodox,12,6,0,
667,Muhsin,Corbbrey,,5.1,155.0,,Orthodox,17,9,0,
668,Alden,Coria,Cobra,,125.0,,,10,3,0,
669,Daniel,Cormier,DC,5.11,235.0,72.0,Orthodox,22,3,0,
670,Nora,Cornolle,,5.7,135.0,67.0,Orthodox,9,3,0,
671,Clint,Coronel,,,155.0,,,2,5,0,
672,Henry,Corrales,,5.9,145.0,,,13,3,0,
673,Bethe,Correia,Pitbull,5.5,135.0,64.0,Orthodox,11,6,1,
674,Wesley,Correira,Cabbage,6.3,260.0,,Orthodox,20,16,0,
675,Tracy,Cortez,,5.5,125.0,65.0,Orthodox,12,2,0,
676,Reyes,Cortez Jr.,,5.7,135.0,68.0,Orthodox,7,3,0,
677,Chad,Corvin,The Brave Warrior,6.5,255.0,,,5,0,0,
678,Louis,Cosce,,5.9,170.0,71.0,Orthodox,7,2,0,
679,Orion,Cosce,Galaxy,5.11,170.0,71.0,Switch,8,2,0,
680,Miguel,Cosio,,6.4,205.0,,,1,13,0,
681,Jadson,Costa,,5.7,155.0,,Orthodox,22,8,0,
682,Guilherme,Costa,The Prodigy,,155.0,,,7,1,0,
683,Paulo,Costa,The Eraser,6.1,185.0,72.0,Orthodox,15,4,0,
684,Randy,Costa,The Zohan,5.9,135.0,73.0,Switch,6,4,0,
685,Alessandro,Costa,Nono,5.4,125.0,67.0,Orthodox,14,4,0,
686,Melquizael,Costa,Melk Cauthy,5.1,145.0,71.0,Southpaw,24,7,0,
687,Vitor,Costa,,,185.0,,,8,1,0,
688,Oscar,Cota,Elevation,6.0,230.0,72.0,Orthodox,11,3,0,
689,Patrick,Cote,The Predator,5.11,170.0,75.0,Orthodox,23,11,0,
690,JC,Cottrell,,5.9,155.0,,Orthodox,17,5,0,
691,JR,Coughran,Bam Bam,5.6,145.0,,Orthodox,4,1,0,
692,Rashad,Coulter,Daywalker,5.11,205.0,76.0,Orthodox,9,4,0,
693,Dave,Courchaine,,5.8,170.0,,,20,7,0,
694,Randy,Couture,The Natural,6.1,205.0,75.0,Orthodox,19,11,0,
695,Kim,Couture,Sugar Free,5.8,135.0,,Orthodox,3,8,0,
696,Ryan,Couture,,5.1,155.0,73.0,Orthodox,11,5,0,
697,Nikk,Covert,The Brick,5.8,185.0,,,3,4,0,
698,Colby,Covington,Chaos,5.11,170.0,72.0,Orthodox,17,5,0,
699,Sarah,D'alelio,The Monster,5.7,145.0,,,11,7,0,
700,Marcos,da Matta,Parrumpinha,5.4,145.0,,,11,3,0,
701,Henrique,da Silva,Frankenstein,6.3,205.0,76.0,Orthodox,14,5,0,
702,Ariane,da Silva,Queen of Violence,5.6,125.0,67.0,Orthodox,17,11,0,
703,Alex,Da Silva,Leko,5.8,155.0,73.0,Orthodox,21,4,0,
704,Radley,Da Silva,Snake Eyes,5.9,145.0,71.0,Orthodox,8,1,0,
705,Paulo,Da Silva,PH,,125.0,,,11,1,0,
706,Henrique,Da Silva Lopes,Montanha,6.3,240.0,,,5,2,0,
707,Deni,Daffa,,6.0,155.0,74.0,Orthodox,6,2,0,
708,Nicolas,Dalby,Danish Dynamite,5.11,170.0,74.0,Orthodox,23,6,1,
709,Paul,Daley,Semtex,5.9,170.0,76.0,Orthodox,39,15,2,
710,Dave,Dalgliesh,,6.2,205.0,,Orthodox,30,19,2,
711,Richard,Dalton,,6.1,205.0,,Orthodox,4,3,1,
712,Aisling,Daly,Ais the Bash,5.2,115.0,64.0,Orthodox,16,6,0,
713,Marko,Damiani,,6.0,170.0,,,0,2,0,
714,Leonardo,Damiani,Puppy,5.1,170.0,69.0,Orthodox,10,3,1,
715,Rodrigo,Damm,,5.7,155.0,71.0,Orthodox,13,9,0,
716,Carina,Damm,Beauty But the Beast,5.4,135.0,,,2,13,0,
717,Batgerel,Danaa,Storm,5.7,135.0,70.0,Orthodox,12,5,0,
718,Cindy,Dandois,Battlecat,5.7,135.0,,Orthodox,8,3,0,
719,Peter,Danesoe,The Asian Viking,5.6,135.0,68.0,Orthodox,8,4,0,
720,Jarjis,Danho,Man Mountain,6.3,265.0,74.0,Orthodox,7,1,1,
721,Raymond,Daniels,,6.2,185.0,,Southpaw,0,1,0,
722,Marques,Daniels,,,155.0,,,5,5,0,
723,Anvarbek,Daniyalbekov,,,185.0,,,8,0,0,
724,Alexandre,Dantas,Cafe,6.2,238.0,,Orthodox,0,3,0,
725,Eduardo,Dantas,Dudu,5.1,135.0,,,20,4,0,
726,Mac,Danzig,,5.8,155.0,70.0,Orthodox,21,12,1,
727,Karen,Darabedyan,,5.7,155.0,68.0,Orthodox,13,6,0,
728,Beneil,Dariush,,5.1,155.0,72.0,Southpaw,23,6,1,
729,Sean,Daugherty,,6.0,175.0,,,0,2,0,
730,Kyle,Daukaus,,6.2,185.0,76.0,Southpaw,16,4,0,
731,Chris,Daukaus,,6.3,205.0,76.0,Orthodox,12,7,0,
732,Brian,Davidson,,5.6,145.0,,,13,4,0,
733,Rick,Davis,The Flying Squirrel,5.9,155.0,,Orthodox,3,1,1,
